tempo_s;temperatura_atual;temperatura_alvo;estado
0;35,31;100;A Aquecer
10;34,02;100;A Aquecer
20;35,47;100;A Aquecer
30;37,61;100;A Aquecer
40;39,77;100;A Aquecer
50;41,73;100;A Aquecer
60;43,82;100;A Aquecer
70;45,78;100;A Aquecer
80;48,13;100;A Aquecer
90;49,95;100;A Aquecer
100;52,14;100;A Aquecer
110;53,69;100;A Aquecer
120;55,61;100;A Aquecer
130;57,19;100;A Aquecer
140;58,98;100;A Aquecer
150;60,17;100;A Aquecer
160;61,87;100;A Aquecer
170;63,06;100;A Aquecer
180;64,55;100;A Aquecer
190;65,77;100;A Aquecer
200;66,84;100;A Aquecer
210;67,96;100;A Aquecer
220;69,18;100;A Aquecer
230;70,01;100;A Aquecer
240;70,55;100;A Aquecer
250;71,98;100;A Aquecer
260;72,49;100;A Aquecer
270;73,66;100;A Aquecer
280;74,4;100;A Aquecer
290;75,26;100;A Aquecer
300;76,11;100;A Aquecer
310;76,64;100;A Aquecer
320;77,48;100;A Aquecer
330;78,46;100;A Aquecer
340;78,86;100;A Aquecer
350;79,4;100;A Aquecer
360;80,23;100;A Aquecer
370;80,87;100;A Aquecer
380;81,3;100;A Aquecer
390;81,99;100;A Aquecer
400;82,48;100;A Aquecer
410;83,14;100;A Aquecer
420;83,57;100;A Aquecer
430;84;100;A Aquecer
440;84,46;100;A Aquecer
450;85,1;100;A Aquecer
460;85,29;100;A Aquecer
470;85,75;100;A Aquecer
480;86,12;100;A Aquecer
490;86,56;100;A Aquecer
500;86,57;100;A Aquecer
510;87,14;100;A Aquecer
520;87,48;100;A Aquecer
530;87,83;100;A Aquecer
540;88,36;100;A Aquecer
550;88,53;100;A Aquecer
560;88,72;100;A Aquecer
570;89,3;100;A Aquecer
580;89,48;100;A Aquecer
590;89,69;100;A Aquecer
600;89,94;100;A Aquecer
610;90,04;100;A Aquecer
620;90,41;100;A Aquecer
630;90,5;100;A Aquecer
640;91,11;100;A Aquecer
650;91,19;100;A Aquecer
660;91,37;100;A Aquecer
670;91,54;100;A Aquecer
680;91,69;100;A Aquecer
690;91,84;100;A Aquecer
700;92,02;100;A Aquecer
710;91,82;100;A Aquecer
720;92,26;100;A Aquecer
730;92,39;100;A Aquecer
740;92,55;100;A Aquecer
750;92,66;100;A Aquecer
760;92,88;100;A Aquecer
770;92,85;100;A Aquecer
780;92,86;100;A Aquecer
790;92,95;100;A Aquecer
800;93,03;100;A Aquecer
810;93,04;100;A Aquecer
820;93,21;100;A Aquecer
830;93,17;100;A Aquecer
840;93,61;100;A Aquecer
850;93,48;100;A Aquecer
860;93,64;100;A Aquecer
870;93,67;100;A Aquecer
880;93,61;100;A Aquecer
890;93,77;100;A Aquecer
900;93,75;100;A Aquecer
910;93,8;100;A Aquecer
920;93,85;100;A Aquecer
930;93,98;100;A Aquecer
940;94,08;100;A Aquecer
950;94,28;100;A Aquecer
960;94,11;100;A Aquecer
970;94,41;100;A Aquecer
980;93,94;100;A Aquecer
990;94,33;100;A Aquecer
1000;94,27;100;A Aquecer
1010;94,33;100;A Aquecer
1020;94,17;100;A Aquecer
1030;94,32;100;A Aquecer
